source_id|source|source_column|name|azt_id
13804|IMPACT|TRIAL_ALIAS_CODE|D0960M00004|D0960M00004
13784|IMPACT|TRIAL_ALIAS_CODE|9188IL/0096_52WEEKS|
13229|IMPACT|TRIAL_ALIAS_CODE|D9770C00053|D9770C00053
13228|IMPACT|TRIAL_ALIAS_CODE|D9770C00052|D9770C00052
13012|IMPACT|TRIAL_ALIAS_CODE|D9774C00002|D9774C00002
14289|IMPACT|TRIAL_ALIAS_CODE|D1220L00012|D1220L00012
14288|IMPACT|TRIAL_ALIAS_CODE|D1532C00018|D1532C00018
14286|IMPACT|TRIAL_ALIAS_CODE|KU36-93|D0810C00006
12358|IMPACT|TRIAL_ALIAS_CODE|D1441C00112|D1441C00112
12357|IMPACT|TRIAL_ALIAS_CODE|D1441C00149|D1441C00149
12353|IMPACT|TRIAL_ALIAS_CODE|9238IL/0057|D6997C00057
12684|IMPACT|TRIAL_ALIAS_CODE|D7919C00706|D7919C00706
12547|IMPACT|TRIAL_ALIAS_CODE|D1441C00150|D1441C00150
13598|IMPACT|TRIAL_ALIAS_CODE|D0011M00002|
13245|IMPACT|TRIAL_ALIAS_CODE|D4200C00045|D4200C00045
13485|IMPACT|TRIAL_ALIAS_CODE|D1443C00063|D1443C00063
13484|IMPACT|TRIAL_ALIAS_CODE|D1443C00073|D1443C00073
13483|IMPACT|TRIAL_ALIAS_CODE|IRUSBUPR0034|D5257L00007
13482|IMPACT|TRIAL_ALIAS_CODE|IRUSESOM0364|
13782|IMPACT|TRIAL_ALIAS_CODE|D144CC00004|D144CC00004
13381|IMPACT|TRIAL_ALIAS_CODE|D1448C00010|D1448C00010
13354|IMPACT|TRIAL_ALIAS_CODE|D2452L00003|D2452L00003
13118|IMPACT|TRIAL_ALIAS_CODE|D5130C00034|D5130C00034
13108|IMPACT|TRIAL_ALIAS_CODE|D7913L00042|D7913L00042
13273|IMPACT|TRIAL_ALIAS_CODE|D9121C00019|D9121C00019
13260|IMPACT|TRIAL_ALIAS_CODE|D9584C00008|D9584C00008
13193|IMPACT|TRIAL_ALIAS_CODE|D4003C00036|D4003C00036
13835|IMPACT|TRIAL_ALIAS_CODE|D1550C00022|D1550C00022
13562|IMPACT|TRIAL_ALIAS_CODE|D8180C00022|D8180C00022
13540|IMPACT|TRIAL_ALIAS_CODE|D9120C00019|D9120C00019
13539|IMPACT|TRIAL_ALIAS_CODE|D9120C00017|D9120C00017
13525|IMPACT|TRIAL_ALIAS_CODE|RSURIM00033|
13537|IMPACT|TRIAL_ALIAS_CODE|D9120C00016|D9120C00016
13536|IMPACT|TRIAL_ALIAS_CODE|D9120C00014|D9120C00014
13535|IMPACT|TRIAL_ALIAS_CODE|D9120C00013|D9120C00013
13335|IMPACT|TRIAL_ALIAS_CODE|D1448C00014|D1448C00014
12479|IMPACT|TRIAL_ALIAS_CODE|D3390M00001|D3390M00001
13815|IMPACT|TRIAL_ALIAS_CODE|D1230C00010|D1230C00010
13387|IMPACT|TRIAL_ALIAS_CODE|D1250C00045|D1250C00045
14057|IMPACT|TRIAL_ALIAS_CODE|D0900C00001|D0900C00001
13765|IMPACT|TRIAL_ALIAS_CODE|D3570C00009|D3570C00009
13764|IMPACT|TRIAL_ALIAS_CODE|D3570C00008|D3570C00008
13763|IMPACT|TRIAL_ALIAS_CODE|D3570C00004|D3570C00004
13762|IMPACT|TRIAL_ALIAS_CODE|D3570C00003|D3570C00003
13761|IMPACT|TRIAL_ALIAS_CODE|D3570C00002|D3570C00002
